id,neighbourhood_cleansed,lat,lon,property_type,room_type,price,accommodates,bathrooms,amenities,review_scores_rating,review_scores_location,instant_bookable,calculated_host_listings_count,lake_access,num_amenities,dist_ta,dist_pb,num_ta,num_stops
827648,Commune de Genève,46.20583,6.11483,Entire apartment,Entire home/apt,120.0,4,2.0,"[""Dedicated workspace"", ""Wifi"", ""Long term stays allowed"", ""TV"", ""Heating"", ""Iron"", ""Kitchen""]",4.615576671035387,4.782021276595745,0,3,0,7,1057.9689679597689,1216.5608705408567,0,0
840332,Commune de Genève,46.20902,6.1363,Private room in apartment,Private room,55.0,2,1.0,"[""Wifi"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Washer"", ""Heating"", ""Kitchen""]",0.0,4.782021276595745,0,1,0,7,660.841096901613,227.08263791395007,0,2
901420,Commune de Genève,46.2008,6.13624,Entire apartment,Entire home/apt,95.0,3,1.0,"[""Wifi"", ""Hangers"", ""Elevator"", ""Long term stays allowed"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Oven"", ""Heating"", ""Pocket wifi"", ""Hot water"", ""Iron"", ""Kitchen""]",4.43,4.72,0,1,0,13,231.78392592620264,375.04208362307406,5,0
913745,Onex,46.19241,6.103,Private room in apartment,Private room,38.0,1,1.0,"[""Paid parking on premises"", ""Extra pillows and blankets"", ""Lock on bedroom door"", ""Dishes and silverware"", ""TV"", ""Iron"", ""Shampoo"", ""EV charger"", ""Wifi"", ""Hair dryer"", ""Waterfront"", ""Essentials"", ""Pocket wifi"", ""Hot water"", ""Dishwasher"", ""Stove"", ""Patio or balcony"", ""Heating"", ""Bed linens"", ""Free street parking"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Cleaning before checkout"", ""Oven"", ""Cooking basics"", ""Kitchen""]",4.13,4.6,0,1,0,29,929.4904730024438,809.5581172551989,0,0
914760,Commune de Genève,46.1914,6.15798,Entire apartment,Entire home/apt,150.0,4,1.0,"[""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Crib"", ""Keypad"", ""Iron"", ""Shampoo"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Dishwasher"", ""Elevator"", ""TV with standard cable"", ""Patio or balcony"", ""Heating"", ""Dryer"", ""Free street parking"", ""Coffee maker"", ""Hot tub"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""High chair"", ""Kitchen""]",4.91,4.91,0,3,1,27,359.1550040846644,490.6792629543618,1,0
919262,Grand-Saconnex,46.22874,6.11634,Private room in villa,Private room,75.0,2,2.5,"[""Wifi"", ""Indoor fireplace"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""Heating"", ""Dryer"", ""Kitchen""]",4.21,4.59,0,3,0,8,1260.4773647324537,733.3005237235036,0,0
921964,Satigny,46.21606,6.03863,Private room in apartment,Private room,50.0,1,1.0,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Washer"", ""TV"", ""BBQ grill"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Single level home"", ""Dedicated workspace"", ""Dishwasher"", ""Free parking on premises"", ""Stove"", ""Heating"", ""Bed linens"", ""Host greets you"", ""Free street parking"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Backyard"", ""Kitchen""]",5.0,4.5,1,1,0,28,2441.974314490825,2689.6752161074323,0,0
935428,Commune de Genève,46.19068,6.15359,Entire condominium,Entire home/apt,140.0,4,1.0,"[""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hangers"", ""Cooking basics"", ""Cable TV"", ""Elevator"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""TV with standard cable"", ""Lockbox"", ""Kitchen"", ""Heating"", ""Dryer"", ""Free street parking"", ""Hot water"", ""Iron"", ""Shampoo"", ""Crib""]",5.0,5.0,1,3,0,20,210.91389815988427,199.79793369056895,2,1
940654,Commune de Genève,46.19656,6.14724,Entire apartment,Entire home/apt,139.0,2,1.0,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Pocket wifi"", ""Hot water"", ""Dedicated workspace"", ""Stove"", ""Patio or balcony"", ""Heating"", ""Bed linens"", ""Host greets you"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.67,4.67,0,1,0,24,184.3052295762323,461.9802803458625,5,0
946415,Grand-Saconnex,46.22845,6.11588,Private room in villa,Private room,75.0,2,1.0,"[""Paid parking on premises"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Cable TV"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Washer"", ""BBQ grill"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Paid parking off premises"", ""Essentials"", ""Bathtub"", ""Hot water"", ""Dedicated workspace"", ""TV with standard cable"", ""Stove"", ""Patio or balcony"", ""Heating"", ""Dryer"", ""Bed linens"", ""Host greets you"", ""Coffee maker"", ""Indoor fireplace"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Backyard"", ""Kitchen""]",4.75,4.89,0,3,0,34,1207.6442487091904,700.5200128516738,0,0
